id,female,region,academic_qual,dob,age,numchild
7988,0,yorkshire & humber,None,1922,69,0
7989,1,yorkshire & humber,None,1912,79,0
7990,0,yorkshire & humber,GCSE/CSE/OLevel,1917,73,0
7991,1,yorkshire & humber,None,1922,69,0
7992,1,yorkshire & humber,None,1924,67,0
7993,1,yorkshire & humber,GCSE/CSE/OLevel,1945,46,1
7994,1,yorkshire & humber,None,1909,82,0
7995,0,yorkshire & humber,None,1923,68,0
7996,1,yorkshire & humber,None,1921,70,0
7997,1,yorkshire & humber,GCSE/CSE/OLevel,1969,22,4
7998,0,yorkshire & humber,ALevel,1967,24,4
7999,1,yorkshire & humber,GCSE/CSE/OLevel,1961,30,1
8000,0,yorkshire & humber,GCSE/CSE/OLevel,1965,26,1
8001,1,yorkshire & humber,None,1938,53,0
8002,0,yorkshire & humber,None,1938,53,0
8003,0,yorkshire & humber,ALevel,1956,35,2
8004,1,yorkshire & humber,GCSE/CSE/OLevel,1958,33,2
8005,0,yorkshire & humber,None,1947,44,1
8006,1,yorkshire & humber,None,1951,40,1
8007,0,yorkshire & humber,GCSE/CSE/OLevel,1972,19,1
8008,0,yorkshire & humber,GCSE/CSE/OLevel,1974,17,1
8009,1,yorkshire & humber,GCSE/CSE/OLevel,1964,27,0
8010,0,yorkshire & humber,Degree +,1965,26,0
8011,1,yorkshire & humber,ALevel,1957,34,2
8012,0,yorkshire & humber,None,1970,21,2
8013,1,yorkshire & humber,ALevel,1968,22,0
8014,0,yorkshire & humber,ALevel,1970,21,0
8015,0,yorkshire & humber,None,1925,66,0
8016,1,yorkshire & humber,ALevel,1925,66,0
8017,0,yorkshire & humber,None,1951,39,1
8018,1,yorkshire & humber,None,1950,41,1
8019,0,yorkshire & humber,NA,1974,17,1
8020,0,yorkshire & humber,None,1925,66,0
8021,1,yorkshire & humber,None,1925,66,0
8022,1,yorkshire & humber,None,1907,84,0
8023,0,yorkshire & humber,None,1936,55,1
8024,1,yorkshire & humber,None,1944,47,1
8025,0,yorkshire & humber,None,1938,53,0
8026,1,yorkshire & humber,NA,1948,43,0
8027,1,yorkshire & humber,None,1929,62,0
8028,0,yorkshire & humber,None,1957,34,4
8029,1,yorkshire & humber,None,1958,33,4
8030,0,yorkshire & humber,ALevel,1956,35,2
8031,1,yorkshire & humber,GCSE/CSE/OLevel,1961,30,2
8032,0,yorkshire & humber,NA,1912,79,0
8033,1,yorkshire & humber,None,1914,77,0
8034,1,yorkshire & humber,Degree +,1950,41,2
8035,0,yorkshire & humber,ALevel,1952,39,2
8036,1,yorkshire & humber,None,1956,35,3
8037,1,yorkshire & humber,Degree +,1918,73,0
8038,1,yorkshire & humber,GCSE/CSE/OLevel,1965,26,0
8039,1,yorkshire & humber,None,1961,30,2
8040,0,yorkshire & humber,GCSE/CSE/OLevel,1962,29,2
8041,0,yorkshire & humber,GCSE/CSE/OLevel,1922,69,0
8042,1,yorkshire & humber,None,1926,65,0
8043,0,yorkshire & humber,None,1912,79,0
8044,0,yorkshire & humber,ALevel,1935,56,0
8045,1,yorkshire & humber,None,1934,56,0
8046,0,yorkshire & humber,None,1964,27,0
8047,0,yorkshire & humber,GCSE/CSE/OLevel,1967,24,0
8048,1,yorkshire & humber,None,1915,76,0
8049,0,yorkshire & humber,GCSE/CSE/OLevel,1946,45,0
8050,0,yorkshire & humber,GCSE/CSE/OLevel,1948,43,1
8051,1,yorkshire & humber,ALevel,1950,41,1
8052,0,yorkshire & humber,GCSE/CSE/OLevel,1974,17,1
8053,1,yorkshire & humber,None,1946,45,2
8054,0,yorkshire & humber,ALevel,1950,41,2
8055,0,yorkshire & humber,None,1927,64,0
8056,1,yorkshire & humber,GCSE/CSE/OLevel,1934,57,0
8057,0,yorkshire & humber,Degree +,1916,75,0
8058,1,yorkshire & humber,GCSE/CSE/OLevel,1923,67,0
8059,0,yorkshire & humber,ALevel,1958,32,2
8060,1,yorkshire & humber,ALevel,1960,31,2
8061,0,yorkshire & humber,NA,1921,69,0
8062,1,yorkshire & humber,None,1923,68,0
8063,0,yorkshire & humber,NA,1937,54,0
8064,1,yorkshire & humber,None,1939,52,0
8065,0,yorkshire & humber,GCSE/CSE/OLevel,1967,24,2
8066,1,yorkshire & humber,GCSE/CSE/OLevel,1969,22,2
8067,1,yorkshire & humber,None,1910,81,0
8068,0,yorkshire & humber,NA,1938,53,2
8069,1,yorkshire & humber,None,1951,39,2
8070,0,yorkshire & humber,ALevel,1906,85,0
8071,0,yorkshire & humber,GCSE/CSE/OLevel,1953,38,2
8072,1,yorkshire & humber,GCSE/CSE/OLevel,1955,36,2
8073,0,yorkshire & humber,None,1933,58,0
8074,1,yorkshire & humber,Degree +,1936,55,0
8075,1,yorkshire & humber,ALevel,1970,21,0
8076,1,yorkshire & humber,None,1919,72,0
8077,0,yorkshire & humber,Degree +,1929,62,0
8078,1,yorkshire & humber,GCSE/CSE/OLevel,1946,45,0
8079,0,yorkshire & humber,GCSE/CSE/OLevel,1974,17,0
8080,0,yorkshire & humber,None,1910,81,0
8081,1,yorkshire & humber,None,1931,60,0
8082,0,yorkshire & humber,GCSE/CSE/OLevel,1960,31,0
8083,0,yorkshire & humber,None,1920,71,0
8084,1,yorkshire & humber,None,1921,70,0
8085,0,yorkshire & humber,None,1922,69,0
8086,0,yorkshire & humber,Degree +,1922,69,0
8087,1,yorkshire & humber,NA,1925,66,0
8088,0,yorkshire & humber,None,1913,78,0
8089,0,yorkshire & humber,Degree +,1957,34,0
8090,1,yorkshire & humber,None,1951,40,0
8091,0,yorkshire & humber,GCSE/CSE/OLevel,1966,25,0
8092,1,yorkshire & humber,NA,1970,20,0
8093,0,yorkshire & humber,NA,1932,59,0
8094,1,yorkshire & humber,GCSE/CSE/OLevel,1934,57,0
8095,0,yorkshire & humber,ALevel,1972,18,0
8096,0,yorkshire & humber,Degree +,1953,38,2
